DE;CODDIST;DISTR;CATEG;TIPOESC;CODESCMEC;NOMESC;;ENDESC;NUMESC;COMPLEND;BAIESC;CODCEP;COMPCEP;CEP;CAIXAPOSTA;CEPPOSTAL;DDD;FONE1;FONE1;FONE2;FONE2;FAX;EMAIL;FAX;email;SETOR
LESTE 5;04;ARICANDUVA;1;08;35046048;EDUARDO GOMES BRIGADEIRO;Eduardo Gomes Brigadeiro;R LEONCIO DA COSTA VIEIRA;137;;JARDIM PIQUEROBY;03463;070;03463-070;;;011;23010556;+55 11 2301-0556;;;22166068;E046048A@EDUCACAO.SP.GOV.BR;+55 11 2216-6068;e046048a@educacao.sp.gov.br;01
LESTE 5;08;BELEM;1;08;35001375;LOUREIRO JUNIOR PROFESSOR;Loureiro Junior Professor;RUA PADRE ADELINO;1330;;QUARTA PARADA;03303;000;03303-000;;;011;26054795;+55 11 2605-4795;;;26059329;E001375A@EDUCACAO.SP.GOV.BR;+55 11 2605-9329;e001375a@educacao.sp.gov.br;02
LESTE 5;08;BELEM;1;08;35001485;GUERINO RASO;Guerino Raso;R SERRA DA BOCAINA;126;;QUARTA PARADA;03174;000;03174-000;;;011;22928232;+55 11 2292-8232;26946335;+55 11 2694-6335;22928232;E001485A@EDUCACAO.SP.GOV.BR;+55 11 2292-8232;e001485a@educacao.sp.gov.br;02
LESTE 5;08;BELEM;2;15;35476353;UNIDADE EXPERIMENTAL DE SAUDE;Unidade Experimental De Saude;R JUVENAL GOMES COIMBRA;10;;CATUMBI;03021;050;03021-050;;;011;22922881;+55 11 2292-2881;22922911;+55 11 2292-2911;;;;;01
LESTE 5;08;BELEM;2;34;35433329;CENTRO DE ATEND SOCIOEDUC AO ADOLESC BELEM UI;Centro De Atend Socioeduc Ao Adolesc Belem Ui;AVENIDA CONDESSA ELISABETH ROBIANO;450;;BELEM;03074;000;03074-000;;;011;;;22919347;+55 11 2291-9347;26981903;SECESCOLARDRM5@CASA.SP.GOV.BR;+55 11 2698-1903;secescolardrm5@casa.sp.gov.br;02
LESTE 5;08;BELEM;2;34;35414396;CENTRO DE ATEND SOCIOEDUC AO ADOLESC VILA GUILHERME;Centro De Atend Socioeduc Ao Adolesc Vila Guilherme;AVENIDA CONDESSA ELISABETH ROBIANO;450;;BELEM;03074;000;03074-000;;;011;26921979;+55 11 2692-1979;22927815;+55 11 2292-7815;;SECESCOLARDRM5@CASA.SP.GOV.BR;;secescolardrm5@casa.sp.gov.br;01
LESTE 5;08;BELEM;2;34;35428887;CENTRO DE ATEND SOCIOEDUC AO ADOLESCENTESAO PAULO UI;Centro De Atend Socioeduc Ao Adolescentesao Paulo Ui;AVENIDA CONDESSA ELISABETH ROBIANO;450;;BELEM;03074;000;03074-000;;;011;26921420;+55 11 2692-1420;;;;SECESCOLARDRM5@CASA.SP.GOV.BR;;secescolardrm5@casa.sp.gov.br;02
LESTE 5;08;BELEM;2;34;35433330;CENTRO DE ATEND SOCIOEDUC AO ADOLESC BELEM UI;Centro De Atend Socioeduc Ao Adolesc Belem Ui;AVENIDA CONDESSA ELISABETH ROBIANO;450;;BELEM;03074;000;03074-000;;;011;;;22919347;+55 11 2291-9347;16981903;SECESCOLARDRM5@CASA.SP.GOV.BR;+55 11 1698-1903;secescolardrm5@casa.sp.gov.br;02
LESTE 5;20;CARRAO;1;08;35002045;ALVINO BITTENCOURT PROFESSOR;Alvino Bittencourt Professor;R FRANCISCO MACHADO DE CAMPOS;294;;CHACARA CALIFORNIA;03406;040;03406-040;;;011;22932268;+55 11 2293-2268;;;20972212;E002045A@EDUCACAO.SP.GOV.BR;+55 11 2097-2212;e002045a@educacao.sp.gov.br;01
LESTE 5;72;SAO LUCAS;1;08;35001673;MARIA DA GLORIA COSTA E SILVA PROFESSORA;Maria Da Gloria Costa E Silva Professora;RUA DOUTOR MONTEIRO DE BARROS;110;;VILA ELZE;03254;120;03254-120;;;011;21432626;+55 11 2143-2626;21432634;+55 11 2143-2634;;E001673A@EDUCACAO.SP.GOV.BR;;e001673a@educacao.sp.gov.br;03
LESTE 5;80;TATUAPE;1;08;35002012;JOAO CLIMACO DA SILVA KRUSE PROFESSOR;Joao Climaco Da Silva Kruse Professor;R TUIUTI;2965;;TATUAPE;03307;005;03307-005;;;011;26732414;+55 11 2673-2414;;;26734100;E002012A@EDUCACAO.SP.GOV.BR;+55 11 2673-4100;e002012a@educacao.sp.gov.br;02
LESTE 5;80;TATUAPE;1;08;35002173;JOAO BORGES PROFESSOR;Joao Borges Professor;R ITAPURA;976;;VILA GOMES CARDIM;03310;000;03310-000;;;011;22964821;+55 11 2296-4821;20973591;+55 11 2097-3591;;E002173A@EDUCACAO.SP.GOV.BR;;e002173a@educacao.sp.gov.br;02
LESTE 5;85;VILA FORMOSA;1;08;35039100;GASTAO STRANG PROFESSOR;Gastao Strang Professor;R MAFALDA;405;;CHACARA BELENZINHO;03377;010;03377-010;;;011;22165960;+55 11 2216-5960;;;21546677;E039100A@EDUCACAO.SP.GOV.BR;+55 11 2154-6677;e039100a@educacao.sp.gov.br;03
LESTE 5;89;VILA MARIA;1;08;35000802;IMPERATRIZ LEOPOLDINA;Imperatriz Leopoldina;R TOGO;571;;JARDIM JAPAO;02124;050;02124-050;;;011;22123411;+55 11 2212-3411;29515609;+55 11 2951-5609;22123411;E000802A@EDUCACAO.SP.GOV.BR;+55 11 2212-3411;e000802a@educacao.sp.gov.br;02
LESTE 5;89;VILA MARIA;2;34;35428863;CENTRO DE ATEND SOCIOEDUC AO ADOLESCENTE OURO PRETO UI;Centro De Atend Socioeduc Ao Adolescente Ouro Preto Ui;AV MORVAN DIAS DE FIGUEIREDO;4210;;VILA MARIA;02170;000;02170-000;;;011;26314141;+55 11 2631-4141;;;26316315;SECESCOLARDRM5@CASA.SP.GOV.BR;+55 11 2631-6315;secescolardrm5@casa.sp.gov.br;01
LESTE 1;18;CANGAIBA;1;08;35002719;CAETANO MIELE PROFESSOR;Caetano Miele Professor;R FRANCISCO DAMANTE;61;;VILA LONDRINA;03731;000;03731-000;;;011;26411691;+55 11 2641-1691;26418865;+55 11 2641-8865;;E002719A@EDUCACAO.SP.GOV.BR;;e002719a@educacao.sp.gov.br;01
LESTE 1;18;CANGAIBA;1;08;35002768;VALACE MARQUES PROFESSOR;Valace Marques Professor;R GENTIL BRAGA;701;;VILA BUENOS AIRES;03737;020;03737-020;;;011;26215950;+55 11 2621-5950;26213711;+55 11 2621-3711;;E002768A@EDUCACAO.SP.GOV.BR;;e002768a@educacao.sp.gov.br;02
LESTE 5;80;TATUAPE;1;08;35002112;CONGONHAS DO CAMPO VISCONDE DE;Congonhas Do Campo Visconde De;R TUIUTI;2051;;TATUAPE;03307;005;03307-005;;;011;22952594;+55 11 2295-2594;22933813;+55 11 2293-3813;22936730;E002112A@EDUCACAO.SP.GOV.BR;+55 11 2293-6730;e002112a@educacao.sp.gov.br;02
LESTE 5;80;TATUAPE;1;08;35002124;CARLOS ESCOBAR;Carlos Escobar;R ADELINO DE ALMEIDA CASTILHO;178;;TATUAPE;03073;050;03073-050;;;011;22949006;+55 11 2294-9006;20971048;+55 11 2097-1048;;E002124A@EDUCACAO.SP.GOV.BR;;e002124a@educacao.sp.gov.br;01
LESTE 5;80;TATUAPE;1;08;35002148;PAULO NOVAES DE CARVALHO PROFESSOR;Paulo Novaes De Carvalho Professor;R FRANCISCO MARENGO;475;;TATUAPE;03313;000;03313-000;;;011;22935253;+55 11 2293-5253;;;20970743;E002148A@EDUCACAO.SP.GOV.BR;+55 11 2097-0743;e002148a@educacao.sp.gov.br;02
LESTE 5;80;TATUAPE;1;08;35002227;BENEDITA RIBAS F SILVEIRA PROFESSORA;Benedita Ribas F Silveira Professora;R JOSE TAVARES DE SIQUEIRA;198;;PARQUE SAO JORGE;03085;030;03085-030;;;011;22962558;+55 11 2296-2558;;;29427902;E002227A@EDUCACAO.SP.GOV.BR;+55 11 2942-7902;e002227a@educacao.sp.gov.br;01
LESTE 5;85;VILA FORMOSA;1;08;35002240;ANTONIO CANDIDO BARONE;Antonio Candido Barone;R ANGA;110;;VILA FORMOSA;03360;000;03360-000;;;011;22167824;+55 11 2216-7824;23013288;+55 11 2301-3288;23013288;E002240A@EDUCACAO.SP.GOV.BR;+55 11 2301-3288;e002240a@educacao.sp.gov.br;03
LESTE 5;85;VILA FORMOSA;1;08;35002288;PAULO CAVALCANTI ALBUQUERQUE PROFESSOR;Paulo Cavalcanti Albuquerque Professor;R FABIO;167;;CHACARA BELENZINHO;03378;060;03378-060;;;011;;;21043002;+55 11 2104-3002;22111501;E002288A@EDUCACAO.SP.GOV.BR;+55 11 2211-1501;e002288a@educacao.sp.gov.br;03
LESTE 1;18;CANGAIBA;1;08;35909048;VICTORIO NAPOLEAO OLIANI PROFESSOR;Victorio Napoleao Oliani Professor;R COLONIA LEOPOLDINA;340;;VILA SILVIA;03821;020;03821-020;;;011;29431641;+55 11 2943-1641;;;29434328;E909048A@EDUCACAO.SP.GOV.BR;+55 11 2943-4328;e909048a@educacao.sp.gov.br;03
LESTE 1;28;ERMELINO MATARAZZO;1;08;35002835;ERMELINO MATARAZZO;Ermelino Matarazzo;R ABEL TAVARES;SN;;JARDIM BELEM;03810;110;03810-110;;;011;25465969;+55 11 2546-5969;29433500;+55 11 2943-3500;;E002835A@EDUCACAO.SP.GOV.BR;;e002835a@educacao.sp.gov.br;04
LESTE 1;28;ERMELINO MATARAZZO;1;08;35039238;LUCIO DE CARVALHO MARQUES PROFESSOR;Lucio De Carvalho Marques Professor;R JACIRA FERRARI DE OLIVEIRA;39;;JARDIM MATARAZZO;03810;060;03810-060;;;011;25465949;+55 11 2546-5949;25414212;+55 11 2541-4212;;E039238A@EDUCACAO.SP.GOV.BR;;e039238a@educacao.sp.gov.br;04
LESTE 1;28;ERMELINO MATARAZZO;1;08;35913649;UMBERTO CONTE CHECCHIA PROFESSOR;Umberto Conte Checchia Professor;RUA GENERAL COSTA CAMPOS;280;;VILA ROBERTINA;03807;100;03807-100;;;011;25464454;+55 11 2546-4454;25416976;+55 11 2541-6976;;E913649A@EDUCACAO.SP.GOV.BR;;e913649a@educacao.sp.gov.br;03
LESTE 1;37;ITAQUERA;1;08;35002896;GALILEO EMENDABILI ESCULTOR;Galileo Emendabili Escultor;R JERIBATUBA;700;;PARADA QUINZE;08246;091;08246-091;;;011;22056799;+55 11 2205-6799;22866148;+55 11 2286-6148;;E002896A@EDUCACAO.SP.GOV.BR;;e002896a@educacao.sp.gov.br;04
LESTE 1;37;ITAQUERA;1;08;35906955;EDSON LUIZ RIBEIRO LUZIA PROFESSOR;Edson Luiz Ribeiro Luzia Professor;R VITOR JOSE DE CASTRO;43;;JARDIM NORMA;08240;305;08240-305;;;011;20519592;+55 11 2051-9592;20515820;+55 11 2051-5820;;E906955A@EDUCACAO.SP.GOV.BR;;e906955a@educacao.sp.gov.br;05
LESTE 1;37;ITAQUERA;1;08;35915671;HERMINIA DE ANDRADE PFUHL NEVES PROFESSORA;Herminia De Andrade Pfuhl Neves Professora;R RAINHA DA NOITE;85;;PARQUE GUARANI;08235;000;08235-000;;;011;20533499;+55 11 2053-3499;20529657;+55 11 2052-9657;;E915671A@EDUCACAO.SP.GOV.BR;;e915671a@educacao.sp.gov.br;05
LESTE 1;59;PENHA;1;08;35002550;MARIA APARECIDA DE CASTRO MASIERO PROFESSORA;Maria Aparecida De Castro Masiero Professora;R PANGAUA;210;;VILA RE;03665;010;03665-010;;;011;29571017;+55 11 2957-1017;29578854;+55 11 2957-8854;60914692;E002550A@EDUCACAO.SP.GOV.BR;+55 11 6091-4692;e002550a@educacao.sp.gov.br;03
LESTE 1;64;PONTE RASA;1;08;35002781;JOSE DE CARVALHO PADRE;Jose De Carvalho Padre;AV SAO MIGUEL;1888;;VILA MARIETA;03620;001;03620-001;;;011;29570496;+55 11 2957-0496;27913033;+55 11 2791-3033;;E002781A@EDUCACAO.SP.GOV.BR;;e002781a@educacao.sp.gov.br;04
LESTE 1;64;PONTE RASA;1;08;35002811;SILVA PRADO DEPUTADO;Silva Prado Deputado;R ENGENHEIRO LUIS ANTONIO RANTIN MOUTINHO;296;;JARDIM POPULAR;03672;010;03672-010;;;011;20433960;+55 11 2043-3960;20432155;+55 11 2043-2155;;E002811A@EDUCACAO.SP.GOV.BR;;e002811a@educacao.sp.gov.br;04
LESTE 1;64;PONTE RASA;1;08;35036997;LUIS GONZAGA CARVALHO MELO PROFESSOR;Luis Gonzaga Carvalho Melo Professor;R ANTONIO DE TOLEDO LARA FILHO;116;;VILA SAO FRANCISCO;03678;050;03678-050;;;011;22805548;+55 11 2280-5548;;;20426999;E036997A@EDUCACAO.SP.GOV.BR;+55 11 2042-6999;e036997a@educacao.sp.gov.br;02
LESTE 5;89;VILA MARIA;1;08;35000673;PAULO EGYDIO DE OLIVEIRA CARVALHO SENADOR;Paulo Egydio De Oliveira Carvalho Senador;R ARARITAGUABA;1264;;VILA MARIA;02122;011;02122-011;;;011;29544757;+55 11 2954-4757;26310204;+55 11 2631-0204;26311180;E000673A@EDUCACAO.SP.GOV.BR;+55 11 2631-1180;e000673a@educacao.sp.gov.br;05
LESTE 5;89;VILA MARIA;1;08;35000796;HEROIS DA FEB;Herois Da Feb;RUA SOLDADO BENEDITO ELISEU DOS SANTOS;SN;;PARQUE NOVO MUNDO;02177;020;02177-020;;;011;29545915;+55 11 2954-5915;;;29677056;E000796A@EDUCACAO.SP.GOV.BR;+55 11 2967-7056;e000796a@educacao.sp.gov.br;02
LESTE 5;89;VILA MARIA;1;08;35000851;JULIO MAIA;Julio Maia;R SOBRAL JUNIOR;234;;VILA MARIA ALTA;02130;020;02130-020;;;011;29541609;+55 11 2954-1609;;;26317110;E000851A@EDUCACAO.SP.GOV.BR;+55 11 2631-7110;e000851a@educacao.sp.gov.br;06
LESTE 5;89;VILA MARIA;2;34;35428747;CENTRO DE ATEND SOCIOEDUC AO ADOLESCENTE OURO PRETO UI;Centro De Atend Socioeduc Ao Adolescente Ouro Preto Ui;AV MORVAN DIAS DE FIGUEIREDO;4210;;VILA MARIA;02170;000;02170-000;;;011;26314141;+55 11 2631-4141;;;26316315;SECESCOLARDRM5@CASA.SP.GOV.BR;+55 11 2631-6315;secescolardrm5@casa.sp.gov.br;01
LESTE 5;89;VILA MARIA;2;34;35432015;CENTRO DE ATEND SOCIOEDUC AO ADOLESC JOAO DO PULO UI;Centro De Atend Socioeduc Ao Adolesc Joao Do Pulo Ui;AV MORVAN DIAS DE FIGUEIREDO;4210;;VILA MARIA;02170;000;02170-000;;;011;26316279;+55 11 2631-6279;;;26316290;SECESCOLARDRM5@CASA.SP.GOV.BR;+55 11 2631-6290;secescolardrm5@casa.sp.gov.br;06
LESTE 1;37;ITAQUERA;1;08;35003207;MARIA CECILIA DA SILVA GROHMANN PROFESSORA;Maria Cecilia Da Silva Grohmann Professora;R JOSE ALVES DOS SANTOS;19;;VILA CAMPANELA;08220;450;08220-450;;;011;22056689;+55 11 2205-6689;22865147;+55 11 2286-5147;;E003207A@EDUCACAO.SP.GOV.BR;;e003207a@educacao.sp.gov.br;01
LESTE 1;37;ITAQUERA;1;08;35046310;JULIO DINIS;Julio Dinis;R JUCARAL;170;;PDA QUINZE;08246;106;08246-106;;;011;22055952;+55 11 2205-5952;22863994;+55 11 2286-3994;;E046310A@EDUCACAO.SP.GOV.BR;;e046310a@educacao.sp.gov.br;04
LESTE 1;37;ITAQUERA;1;08;35911008;URBANO DE OLIVEIRA PINTO REV;Urbano De Oliveira Pinto Rev;R TANTAS PALAVRAS;10;;CONJUNTO HABITACIONAL AGUIA DE HAIA;08223;510;08223-510;;;011;22805878;+55 11 2280-5878;20418001;+55 11 2041-8001;;E911008A@EDUCACAO.SP.GOV.BR;;e911008a@educacao.sp.gov.br;07
LESTE 1;59;PENHA;1;08;35002525;ANTAO PADRE;Antao Padre;RUA SANTO AFONSO;273;;PENHA;03632;020;03632-020;;;011;20913272;+55 11 2091-3272;20923422;+55 11 2092-3422;;E002525A@EDUCACAO.SP.GOV.BR;;e002525a@educacao.sp.gov.br;02
LESTE 1;64;PONTE RASA;1;08;35036808;ANTONIO DE OLIVEIRA CAMARGO PROFESSOR;Antonio De Oliveira Camargo Professor;RUA CARLO GRAZIA ENGENHEIRO;500;;VILA UNIAO (ZONA LESTE);03683;150;03683-150;;;011;22805996;+55 11 2280-5996;20435515;+55 11 2043-5515;;E036808A@EDUCACAO.SP.GOV.BR;;e036808a@educacao.sp.gov.br;02
LESTE 1;87;VILA JACUI;1;08;35902573;PAULO ROBERTO FAGGIONI PROFESSOR;Paulo Roberto Faggioni Professor;R TABACARANA;10;;LIMOEIRO;08051;100;08051-100;;;011;22800043;+55 11 2280-0043;;;20419584;E902573A@EDUCACAO.SP.GOV.BR;+55 11 2041-9584;e902573a@educacao.sp.gov.br;05
LESTE 4;05;ARTUR ALVIM;1;08;35041671;AMADOR ARRUDA MENDES PROF;Amador Arruda Mendes Prof;AV SYLVIO TORRES;290;;CONJUNTO HABITACIONAL PADRE JOSE DE ANCHIETA;03589;010;03589-010;;;011;27433322;+55 11 2743-3322;27414418;+55 11 2741-4418;27433322;E041671A@EDUCACAO.SP.GOV.BR;+55 11 2743-3322;e041671a@educacao.sp.gov.br;03
LESTE 1;87;VILA JACUI;1;08;35002872;MAXIMO DE MOURA SANTOS PROFESSOR;Maximo De Moura Santos Professor;R PARIOTO;249;;VILA JACUI;08060;030;08060-030;;;011;22972896;+55 11 2297-2896;22979413;+55 11 2297-9413;;E002872A@EDUCACAO.SP.GOV.BR;;e002872a@educacao.sp.gov.br;04
LESTE 1;87;VILA JACUI;1;08;35910797;TITO LIVIO FERREIRA PROFESSOR;Tito Livio Ferreira Professor;R BARDANA;35;;JARDIM RUTH;08040;730;08040-730;;;011;20520139;+55 11 2052-0139;20539350;+55 11 2053-9350;;E910797A@EDUCACAO.SP.GOV.BR;;e910797a@educacao.sp.gov.br;07
LESTE 1;87;VILA JACUI;1;08;35916493;JULIO DE CARVALHO BARATA;Julio De Carvalho Barata;RUA ELY REY;1A;;JARDIM SAO CARLOS (ZONA LESTE);08062;520;08062-520;;;011;22804199;+55 11 2280-4199;20427773;+55 11 2042-7773;;E916493A@EDUCACAO.SP.GOV.BR;;e916493a@educacao.sp.gov.br;05
LESTE 4;05;ARTUR ALVIM;1;08;35043722;OSWALDO ARANHA BANDEIRA DE MELLO PROF;Oswaldo Aranha Bandeira De Mello Prof;AV PADRE SENA FREITAS;196;;PARQUE ARTUR ALVIM;03568;020;03568-020;;;011;27433324;+55 11 2743-3324;27414314;+55 11 2741-4314;27433324;E043722A@EDUCACAO.SP.GOV.BR;+55 11 2743-3324;e043722a@educacao.sp.gov.br;02
LESTE 4;24;CIDADE LIDER;1;08;35003098;ASCANIO DE AZEVEDO CASTILHO PROF;Ascanio De Azevedo Castilho Prof;AV LIDER;2168;;CIDADE LIDER;08280;005;08280-005;;;011;27488685;+55 11 2748-8685;27482693;+55 11 2748-2693;27488685;E003098A@EDUCACAO.SP.GOV.BR;+55 11 2748-8685;e003098a@educacao.sp.gov.br;03
LESTE 4;24;CIDADE LIDER;1;08;35901714;CAMILO MARIA CAVALHEIRO DOM;Camilo Maria Cavalheiro Dom;R GARUVA;55;;JARDIM SANTA MARIA;03576;160;03576-160;;;011;27273077;+55 11 2727-3077;27273719;+55 11 2727-3719;27273077;E901714A@EDUCACAO.SP.GOV.BR;+55 11 2727-3077;e901714a@educacao.sp.gov.br;01
LESTE 4;24;CIDADE LIDER;1;08;35043928;JORGE DUPRAT FIGUEIREDO;Jorge Duprat Figueiredo;R ANTONIO LOMBARDO;140;;JARDIM SANTA TEREZINHA (ZONA LESTE);03572;230;03572-230;;;011;27210278;+55 11 2721-0278;27222631;+55 11 2722-2631;27210278;E043928A@EDUCACAO.SP.GOV.BR;+55 11 2721-0278;e043928a@educacao.sp.gov.br;06
LESTE 4;24;CIDADE LIDER;1;08;35924209;IVO BANDONI PROF;Ivo Bandoni Prof;R BOM JESUS DO MONTE;741;;JARDIM MARILIA;03579;000;03579-000;;;011;27438453;+55 11 2743-8453;27428514;+55 11 2742-8514;27438453;E924209A@EDUCACAO.SP.GOV.BR;+55 11 2743-8453;e924209a@educacao.sp.gov.br;05
LESTE 4;57;PARQUE DO CARMO;1;08;35003136;LINA DA COSTA COUTO PROFA;Lina Da Costa Couto Profa;AV JACU-PESSEGO;1400;;VILA JACUI;08260;005;08260-005;;;011;25219710;+55 11 2521-9710;25230594;+55 11 2523-0594;25219710;E003136A@EDUCACAO.SP.GOV.BR;+55 11 2521-9710;e003136a@educacao.sp.gov.br;05
LESTE 4;73;SAO MATEUS;1;08;35002331;PILAR GARCIA VIDAL DONA;Pilar Garcia Vidal Dona;R PASTOR AGENOR CALDEIRA DINIZ;48;;JARDIM IMPERADOR (ZONA LESTE);03935;080;03935-080;;;011;27212166;+55 11 2721-2166;27212671;+55 11 2721-2671;27212166;E002331A@EDUCACAO.SP.GOV.BR;+55 11 2721-2166;e002331a@educacao.sp.gov.br;09
LESTE 4;73;SAO MATEUS;1;08;35041701;MARIA LOURDES ROSARIO NEGREIROS PROFA;Maria Lourdes Rosario Negreiros Profa;R JOAQUIM FELICIO;149;;CIDADE CENTENARIO;03932;050;03932-050;;;011;27214574;+55 11 2721-4574;27212924;+55 11 2721-2924;27212924;E041701A@EDUCACAO.SP.GOV.BR;+55 11 2721-2924;e041701a@educacao.sp.gov.br;09
LESTE 4;73;SAO MATEUS;1;08;35902639;JOAO CAMARGO PROF;Joao Camargo Prof;R ANGELO DE CANDIA;2868;;CIDADE SAO MATEUS;03958;000;03958-000;;;011;29195990;+55 11 2919-5990;20119033;+55 11 2011-9033;29195990;E902639A@EDUCACAO.SP.GOV.BR;+55 11 2919-5990;e902639a@educacao.sp.gov.br;02
LESTE 4;73;SAO MATEUS;1;08;35003189;ALFREDO MACHADO PEDROSA PROF;Alfredo Machado Pedrosa Prof;R ANTONIO PREVIATO;1385;;CIDADE SAO MATEUS;03958;010;03958-010;;;011;29194841;+55 11 2919-4841;29623214;+55 11 2962-3214;;E003189A@EDUCACAO.SP.GOV.BR;;e003189a@educacao.sp.gov.br;01
LESTE 4;73;SAO MATEUS;1;08;35003273;SAO JOAO EVANGELISTA;Sao Joao Evangelista;R FORTE CANANEIA;3;;PARQUE SAO LOURENCO;08340;020;08340-020;;;011;29190402;+55 11 2919-0402;29624619;+55 11 2962-4619;29190402;E003273A@EDUCACAO.SP.GOV.BR;+55 11 2919-0402;e003273a@educacao.sp.gov.br;03
LESTE 4;76;SAPOPEMBA;1;08;35001752;AROLDO DE AZEVEDO PROF;Aroldo De Azevedo Prof;R FILIPA ALVARES;SN;;JARDIM PLANALTO;03984;020;03984-020;;;011;27031852;+55 11 2703-1852;;;27037434;E001752A@EDUCACAO.SP.GOV.BR;+55 11 2703-7434;e001752a@educacao.sp.gov.br;07
LESTE 4;76;SAPOPEMBA;1;08;35901702;MIGUEL SANSIGOLO PROF;Miguel Sansigolo Prof;R FRANCISCO DA ROCHA;157;;JARDIM IVA;03921;130;03921-130;;;011;22166303;+55 11 2216-6303;;;22166303;E901702A@EDUCACAO.SP.GOV.BR;+55 11 2216-6303;e901702a@educacao.sp.gov.br;02
LESTE 4;76;SAPOPEMBA;1;08;35902226;SHIRO KYONO DEPUTADO;Shiro Kyono Deputado;R TOMAS DE SANTA MARIA;245;;CONJUNTO HABITACIONAL TEOTONIO VILELA;03928;170;03928-170;;;011;27044737;+55 11 2704-4737;27041212;+55 11 2704-1212;27044737;E902226A@EDUCACAO.SP.GOV.BR;+55 11 2704-4737;e902226a@educacao.sp.gov.br;03
LESTE 4;91;VILA MATILDE;1;08;35002367;OLGA MARINOVIC DORO PROFA;Olga Marinovic Doro Profa;R CUSTODIO LOBO;29;;JARDIM MARINGA;03525;080;03525-080;;;011;27837442;+55 11 2783-7442;27833593;+55 11 2783-3593;27837442;E002367A@EDUCACAO.SP.GOV.BR;+55 11 2783-7442;e002367a@educacao.sp.gov.br;03
LESTE 4;91;VILA MATILDE;1;08;35002409;LUIZ ANTONIO FRAGOSO PROF;Luiz Antonio Fragoso Prof;AV ANTONIO ESTEVAO DE CARVALHO;1778;;CIDADE PATRIARCA;03540;100;03540-100;;;011;26843709;+55 11 2684-3709;;;29584271;E002409A@EDUCACAO.SP.GOV.BR;+55 11 2958-4271;e002409a@educacao.sp.gov.br;04
LESTE 4;91;VILA MATILDE;1;08;35002641;JOSE PEREIRA DE QUEIROZ DR;Jose Pereira De Queiroz Dr;R PARANHOS;264;;VILA NOVA SAVOIA;03532;020;03532-020;;;011;26515800;+55 11 2651-5800;26519929;+55 11 2651-9929;26515800;E002641A@EDUCACAO.SP.GOV.BR;+55 11 2651-5800;e002641a@educacao.sp.gov.br;02
LESTE 4;91;VILA MATILDE;1;08;35002653;AFONSO PENNA JUNIOR PROF;Afonso Penna Junior Prof;R MUANA;31;;JARDIM MARINGA;03525;090;03525-090;;;011;27831200;+55 11 2783-1200;;;27837409;E002653A@EDUCACAO.SP.GOV.BR;+55 11 2783-7409;e002653a@educacao.sp.gov.br;03
LESTE 4;91;VILA MATILDE;1;08;35002677;JOSE TALARICO;Jose Talarico;AV WALDEMAR CARLOS PEREIRA;452;;VILA TALARICO;03533;000;03533-000;;;011;26513914;+55 11 2651-3914;26519933;+55 11 2651-9933;26513914;E002677A@EDUCACAO.SP.GOV.BR;+55 11 2651-3914;e002677a@educacao.sp.gov.br;02
LESTE 2;36;ITAIM PAULISTA;1;08;35904636;LAURO CELIDONIO GOMES DOS REIS DR;Lauro Celidonio Gomes Dos Reis Dr;R JOAO BATISTA DE GODOY;1000;;JARDIM DAS OLIVEIRAS;08111;430;08111-430;;;011;29632373;+55 11 2963-2373;29630048;+55 11 2963-0048;;E904636A@EDUCACAO.SP.GOV.BR;;e904636a@educacao.sp.gov.br;07
LESTE 4;73;SAO MATEUS;1;08;35922894;SAPOPEMBA;Sapopemba;RUA SENADOR NILO COELHO;690;;JARDIM SAPOPEMBA;03929;100;03929-100;;;011;29192833;+55 11 2919-2833;29620813;+55 11 2962-0813;29620813;E922894A@EDUCACAO.SP.GOV.BR;+55 11 2962-0813;e922894a@educacao.sp.gov.br;07
LESTE 4;76;SAPOPEMBA;1;08;35003165;JANDYRA VIEIRA CUNHA BARRA PROFA;Jandyra Vieira Cunha Barra Profa;R JOAO LOPES DE LIMA;1000;;JARDIM SAPOPEMBA;03976;020;03976-020;;;011;29191001;+55 11 2919-1001;29629385;+55 11 2962-9385;29191001;E003165A@EDUCACAO.SP.GOV.BR;+55 11 2919-1001;e003165a@educacao.sp.gov.br;04
LESTE 4;76;SAPOPEMBA;1;08;35924490;JOAQUIN SUAREZ;Joaquin Suarez;R DOMINGOS ALALEONE;47;;FAZENDA DA JUTA;03977;397;03977-397;;;011;20157984;+55 11 2015-7984;20152722;+55 11 2015-2722;20157984;E924490A@EDUCACAO.SP.GOV.BR;+55 11 2015-7984;e924490a@educacao.sp.gov.br;05
LESTE 4;91;VILA MATILDE;1;08;35002471;ZALINA ROLIM DONA;Zalina Rolim Dona;R DOUTOR LUIS CARLOS;740;;VILA ARICANDUVA;03505;000;03505-000;;;011;20975767;+55 11 2097-5767;;;20972312;E002471A@EDUCACAO.SP.GOV.BR;+55 11 2097-2312;e002471a@educacao.sp.gov.br;01
LESTE 4;91;VILA MATILDE;1;08;35002636;INFANTE DOM HENRIQUE;Infante Dom Henrique;R TEODORO MASCARENHAS;133;;VILA MATILDE;03515;010;03515-010;;;011;26530626;+55 11 2653-0626;26532746;+55 11 2653-2746;26530626;E002636A@EDUCACAO.SP.GOV.BR;+55 11 2653-0626;e002636a@educacao.sp.gov.br;01
